year_label,year,rank,institution_name,city,state,intl_students_total
2003/04,2003,15,SUNY University at Buffalo,Buffalo,NY,3664
2003/04,2003,16,University of Pennsylvania,Philadelphia,PA,3557
2003/04,2003,17,University of Wisconsin - Madison,Madison,WI,3435
2003/04,2003,18,Harvard University,Cambridge,MA,3403
2003/04,2003,19,Florida International University,Miami,FL,3397
2003/04,2003,20,University of Houston,Houston,TX,3368
2003/04,2003,21,University of Minnesota - Twin Cities,Minneapolis,MN,3357
2003/04,2003,22,Michigan State University,East Lansing,MI,3277
2003/04,2003,23,Wayne State University,Detroit,MI,3271
2003/04,2003,24,University of Florida,Gainesville,FL,3157
2003/04,2003,25,Arizona State University - Tempe,Tempe,AZ,3038
2004/05,2004,1,University of Southern California,Los Angeles,CA,6846
2004/05,2004,2,University of Illinois - Urbana-Champaign,Champaign,IL,5560
2004/05,2004,3,University of Texas - Austin,Austin,TX,5333
2004/05,2004,4,Columbia University,New York,NY,5278
2004/05,2004,5,New York University,New York,NY,5140
2004/05,2004,6,Purdue University - West Lafayette,West Lafayette,IN,4921
2004/05,2004,7,University of Michigan - Ann Arbor,Ann Arbor,MI,4632
2004/05,2004,8,Boston University,Boston,MA,4541
2004/05,2004,9,University of California - Los Angeles,Los Angeles,CA,4217
2004/05,2004,10,Ohio State University - Columbus,Columbus,OH,4140
2004/05,2004,11,SUNY University at Buffalo,Buffalo,NY,3965
2004/05,2004,12,University of Wisconsin - Madison,Madison,WI,3941
2004/05,2004,13,Texas A&M University - College Station,College Station,TX,3721
2004/05,2004,14,University of Pennsylvania,Philadelphia,PA,3712
2004/05,2004,15,Houston Community College System,Houston,TX,3702
2004/05,2004,16,University of Maryland - College Park,College Park,MD,3646
2004/05,2004,17,Harvard University,Cambridge,MA,3546
2004/05,2004,18,Indiana University - Bloomington,Bloomington,IN,3525
2004/05,2004,19,University of Florida,Gainesville,FL,3492
2004/05,2004,20,University of Houston,Houston,TX,3326
2004/05,2004,21,Michigan State University,East Lansing,MI,3315
2004/05,2004,22,University of Minnesota - Twin Cities,Minneapolis,MN,3302
2004/05,2004,23,Pennsylvania State University - University Park,University Park,PA,3237
2004/05,2004,24,Florida International University,Miami,FL,3155
2004/05,2004,25,Cornell University,Ithaca,NY,3119
2005/06,2005,1,University of Southern California,Los Angeles,CA,6881
2005/06,2005,2,Columbia University,New York,NY,5575
2005/06,2005,3,Purdue University - West Lafayette,West Lafayette,IN,5540
2005/06,2005,4,New York University,New York,NY,5502
2005/06,2005,5,University of Texas - Austin,Austin,TX,5395
2005/06,2005,6,University of Illinois - Urbana-Champaign,Champaign,IL,4904
2005/06,2005,7,University of Michigan - Ann Arbor,Ann Arbor,MI,4649
2005/06,2005,8,Boston University,Boston,MA,4542
2005/06,2005,9,Ohio State University - Columbus,Columbus,OH,4476
2005/06,2005,10,SUNY University at Buffalo,Buffalo,NY,4072
2005/06,2005,11,University of California - Los Angeles,Los Angeles,CA,3979
2005/06,2005,12,University of Florida,Gainesville,FL,3749
2005/06,2005,13,Cornell University,Ithaca,NY,3697
2005/06,2005,14,University of Pennsylvania,Philadelphia,PA,3689
2005/06,2005,15,Harvard University,Cambridge,MA,3669
2005/06,2005,16,Texas A&M University - College Station,College Station,TX,3589
2005/06,2005,17,Indiana University - Bloomington,Bloomington,IN,3540
2005/06,2005,18,University of Maryland - College Park,College Park,MD,3476
2005/06,2005,19,University of Houston,Houston,TX,3413
2005/06,2005,20,University of Minnesota - Twin Cities,Minneapolis,MN,3384
2005/06,2005,21,University of Wisconsin - Madison,Madison,WI,3381
2005/06,2005,22,Michigan State University,East Lansing,MI,3293
2005/06,2005,23,Houston Community College System,Houston,TX,3227
2005/06,2005,24,Stanford University,Stanford,CA,3200
2005/06,2005,25,Pennsylvania State University - University Park,University Park,PA,3199
2006/07,2006,1,University of Southern California,Los Angeles,CA,7115
2006/07,2006,2,Columbia University,New York,NY,5937
2006/07,2006,3,New York University,New York,NY,5827
2006/07,2006,4,University of Illinois - Urbana-Champaign,Champaign,IL,5685
2006/07,2006,5,Purdue University - West Lafayette,West Lafayette,IN,5581
2006/07,2006,6,University of Michigan - Ann Arbor,Ann Arbor,MI,5429
2006/07,2006,7,University of Texas - Austin,Austin,TX,5303
2006/07,2006,8,University of California - Los Angeles,Los Angeles,CA,4704
2006/07,2006,9,Harvard University,Cambridge,MA,4514
2006/07,2006,10,Boston University,Boston,MA,4484
2006/07,2006,10,University of Pennsylvania,Philadelphia,PA,4484
2006/07,2006,12,Ohio State University - Columbus,Columbus,OH,4345
2006/07,2006,13,SUNY University at Buffalo,Buffalo,NY,4103
